序号,产品代码,产品名称,客户代码,模具代码,模具适配机型,原料,重量（克）,散热环,支架,备注
1,AP-i14-h-r,i14带散热带支架,AP,AP-001,GT130,硅胶,12,是,是,散热环和支架均为每个手机壳最多配套一个或者不安装，下同
2,AP-i14-mini,i14-mini无配件,AP,AP-002,GT150,硅胶,10,否,否,假设手机壳的原料损耗为0，即20克原料生产20克的手机壳
3,AP-i14-pro-h,i14-pro带散热,AP,AP-003,GT130,硅胶,15,是,否,必须用转换框放于GT150上生产或者外发可生产硅胶的GT130机台上生产
4,AP-i14-pro-max-r,i14-pro-max带支架,AP,AP-004,GT150,硅胶,11,否,是,
5,AP-i15-h-r,i15带散热带支架,AP,AP-005,GT150,TPU,15,是,是,
6,AP-i15-mini-h-r,i15-mini带散热带支架,AP,AP-006,GT150,TPU,10,是,是,
7,AP-i15-pro-r,i15-pro带支架,AP,AP-007,GT130,TPU,14,否,是,AP-007和AP-007-1是完全相同的模具，以应对手机壳的大量生产需求
8,AP-i15-pro-r,i15-pro带支架,AP,AP-007-1,GT130,TPU,14,否,是,AP-007和AP-007-1是完全相同的模具，以应对手机壳的大量生产需求
9,AP-i15-pro-max-h-r,i15-pro-max带散热带支架,AP,AP-008,GT130,TPU,13,是,是,
10,AP-i16-r,i16带支架,AP,AP-009,GT150,硅胶,10,否,是,
11,AP-i16-mini-h-r,i16-mini带散热带支架,AP,AP-010,GT150,TPU,15,是,是,
12,AP-i16-pro-r,i16-pro带支架,AP,AP-011,GT130,硅胶,14,否,是,
13,AP-i16-pro-max-h,i16-pro-max带散热,AP,AP-012,GT150,TPU,15,是,否,
14,HW-P50-h,P50带散热,HW,HW-001,GT150,硅胶,15,是,否,HW-001和HW001-1是完全相同的模具以应对手机壳的大量生产订单
15,HW-P50-h,P50带散热,HW,HW-001-1,GT150,硅胶,15,是,否,HW-001和HW001-1是完全相同的模具以应对手机壳的大量生产订单
16,HW-P60-h,P60带散热,HW,HW-002,GT130,TPU,11,是,否,
17,HW-P70-h-r,P70带散热带支架,HW,HW-003,GT130,硅胶,14,是,是,
18,HW-Mate50,Mate50无配件,HW,HW-004,GT150,TPU,11,否,否,
19,HW-Mate60-h-r,Mate60带散热带支架,HW,HW-005,GT130,TPU,15,是,是,
20,O-Find-X5-h,Find-X5带散热,O,O-001,GT150,TPU,14,是,否,
21,O-Find-X6-h-r,Find-X6带散热带支架,O,O-002,GT150,硅胶,10,是,是,
22,O-Reno8-h-r,Reno8带散热带支架,O,O-003,GT150,硅胶,14,是,是,
23,O-Reno9-h,Reno9带散热,O,O-004,GT130,TPU,12,是,否,
24,O-X80-r,X80带支架,O,O-005,GT130,TPU,14,否,是,
25,O-X90-r,X90带支架,O,O-006,GT150,TPU,11,否,是,
26,V-S15,S15无配件,V,V-001,GT150,硅胶,14,否,否,
27,V-S16-h-r,S16带散热带支架,V,V-002,GT150,硅胶,14,是,是,
28,Z-Mi13-h,Mi13带散热,Z,Z-001,GT130,TPU,12,是,否,
29,Z-Mi14,Mi14无配件,Z,Z-002,GT130,硅胶,13,否,否,
30,Z-Redmi-K60-r,Redmi-K60带支架,Z,Z-003,GT150,硅胶,13,否,是,
31,Z-Redmi-K70-h,Redmi-K70带散热,Z,Z-004,GT130,TPU,13,是,否,
32,M-Axon30-r,Axon30带支架,M,M-001,GT130,TPU,10,否,是,
33,M-Axon40-r,Axon40带支架,M,M-002,GT150,TPU,13,否,是,
34,M-Blade-V40,Blade-V40无配件,M,M-003,GT130,TPU,11,否,否,
35,CY-Spark8-h-r,Spark8带散热带支架,CY,CY-001,GT130,硅胶,11,是,是,
36,CY-Spark9-h-r,Spark9带散热带支架,CY,CY-002,GT150,TPU,13,是,是,
37,CY-Camon19-h,Camon19带散热,CY,CY-003,GT150,TPU,13,是,否,
